Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
232,336656.300,302700.675,129,579,369,4,3.366,241
233,334591.400,302773.001,305,564,369,4,3.356,233
234,333708.300,301150.844,65,559,369,5,3.361,1073
235,333879.400,301555.337,305,534,369,5,3.342,1073
236,331399.400,300544.315,305,525,369,5,3.333,1073
237,332246.300,299497.920,65,537,369,5,3.341,1073
238,328172.300,297771.199,65,516,369,5,3.336,1073
239,327075.300,295788.836,65,516,369,5,3.332,1073
240,327555.300,294744.678,65,535,369,5,3.340,1073
241,324133.300,293187.018,65,505,369,4,3.320,241
242,324704.300,292743.360,65,498,369,4,3.318,241
243,329122.400,293740.306,305,491,369,4,3.314,241
